movie_name,Running time (min),Release date,Box office
Pinocchio (1940 film),01:28,1940-02-07,164000000.0
Fantasia (1940 film),02:06,1940-11-13,76400000.0
The Reluctant Dragon (1941 film),01:14,1941-06-27,960000.0
Dumbo,01:04,1941-10-23,1300000.0
Bambi,01:10,1942-08-09,267399999.0
Saludos Amigos,00:42,1942-08-24,1000000.0
Victory Through Air Power (film),01:05,1943-07-17,799000.0
The Three Caballeros,01:11,1944-12-21,3355000.0
Make Mine Music,01:15,1946-04-20,3275000.0
Song of the South,01:34,1946-11-12,65000000.0
Fun and Fancy Free,01:13,1947-09-27,3165000.0
Melody Time,01:15,1948-05-27,2560000.0
The Adventures of Ichabod and Mr. Toad,01:08,1949-10-05,1625000.0
Cinderella (1950 film),01:14,1950-02-15,182000000.0
Treasure Island (1950 film),01:36,1950-06-22,4099999.0
Alice in Wonderland (1951 film),01:15,1951-07-26,2400000.0
The Story of Robin Hood (film),01:24,1952-03-13,2100000.0
Peter Pan (1953 film),01:17,1953-02-05,87400000.0
The Sword and the Rose,01:32,1953-07-23,1000000.0
The Living Desert,01:09,1953-11-10,2600000.0
Rob Roy The Highland Rogue,01:21,1953-10-26,1935761693.0
The Vanishing Prairie,01:00,1954-08-17,1750000.0
"20,000 Leagues Under the Sea (1954 film)",02:07,1954-12-23,28200000.0
Davy Crockett King of the Wild Frontier (film),01:33,1955-05-25,2150000.0
Lady and the Tramp,01:16,1955-06-22,187000000.0
The African Lion,01:15,1955-09-14,2100000.0
The Littlest Outlaw,01:13,1955-12-22,1600000.0
Davy Crockett and the River Pirates,01:21,1956-07-18,1935761693.0
Secrets of Life,01:10,1956-09-04,1935761693.0
Westward Ho the Wagons!,01:30,1956-12-20,2750000.0
Johnny Tremain (film),01:20,1957-06-19,1935761693.0
Perri (film),01:15,1957-08-28,1750000.0
Old Yeller (film),01:24,1957-12-25,6250000.0
The Light in the Forest (film),01:23,1958-07-08,2000000.0
White Wilderness (film),01:12,1958-08-12,1800000.0
Tonka (film),01:37,1958-12-25,2500000.0
Sleeping Beauty (1959 film),01:15,1959-01-29,51600000.0
The Shaggy Dog (1959 film),01:44,1959-03-19,12300000.0
Darby OGill and the Little People,01:33,1959-06-24,2600000.0
Third Man on the Mountain,01:45,1959-11-10,1700000.0
Kidnapped (1960 film),01:37,1960-02-24,1935761693.0
Pollyanna (1960 film),02:14,1960-05-19,3750000.0
Ten Who Dared,01:32,1960-11-01,1935761693.0
Swiss Family Robinson (1960 film),02:06,1960-12-21,40000000.0
One Hundred and One Dalmatians,01:19,1961-01-25,303000000.0
The Parent Trap (1961 film),02:08,1961-06-21,25100000.0
Nikki Wild Dog of the North,01:13,1961-07-12,2100000.0
Greyfriars Bobby (film),01:31,1961-07-17,1400000.0
Babes in Toyland (1961 film),01:45,1961-12-14,4600000.0
Moon Pilot,01:38,1962-04-05,3500000.0
Bon Voyage! (1962 film),02:10,1962-05-17,5000000.0
Big Red (film),01:29,1962-06-06,1935761693.0
The Legend of Lobo,01:07,1962-11-07,1935761693.0
In Search of the Castaways (film),01:38,1962-11-14,21745500.0
Son of Flubber,01:40,1963-01-16,22100000.0
Miracle of the White Stallions,01:58,1963-03-29,2550000.0
Savage Sam (film),01:43,1963-06-01,1935761693.0
Summer Magic (film),01:50,1963-07-07,4350000.0
The Incredible Journey (film),01:20,1963-11-20,4200000.0
The Sword in the Stone (1963 film),01:19,1963-12-12,22200000.0
A Tiger Walks,01:31,1964-03-12,0.0
The Missadventures of Merlin Jones,01:31,1964-02-11,4000000.0
The Moon-Spinners,01:58,1964-07-02,0.0
Mary Poppins (film),02:19,1964-08-27,103100000.0
Emil and the Detectives (1964 film),01:32,1964-12-18,1275000.0
The Monkeys Uncle,01:27,1965-08-18,4000000.0
That Darn Cat!,01:56,1965-12-02,28068222.0
The Ugly Dachshund,01:33,1966-02-04,6200000.0
"Lt. Robin Crusoe, U.S.N.",01:54,1966-06-29,22565634.0
"Follow Me, Boys!",02:11,1966-12-01,16207116.0
"Monkeys, Go Home!",01:41,1967-02-08,3000000.0
The Adventures of Bullwhip Griffin,01:50,1967-06-15,1900000.0
The Gnome-Mobile,01:24,1967-07-12,4000000.0
The Jungle Book (1967 film),01:18,1967-10-18,378000000.0
"Charlie, the Lonesome Cougar",01:15,1967-10-18,1935761693.0
Blackbeards Ghost,01:46,1968-02-08,21540050.0
Never a Dull Moment (1968 film),01:39,1968-06-26,4150000.0
The Horse in the Gray Flannel Suit,01:53,1968-12-20,3300000.0
The Love Bug,01:48,1968-12-24,51200000.0
Smith!,01:42,1969-03-21,1300000.0
Rascal (film),01:25,1969-06-11,1935761693.0
The Computer Wore Tennis Shoes,01:31,1969-12-31,5500000.0
King of the Grizzlies,01:33,1970-02-11,1935761693.0
The Boatniks,01:40,1970-07-01,18607492.0
The Wild Country,01:40,1970-12-15,4000000.0
The Aristocats,01:19,1970-12-11,191000000.0
The Barefoot Executive,01:36,1971-03-17,1935761693.0
The Million Dollar Duck,01:29,1971-06-30,5100000.0
Bedknobs and Broomsticks,01:58,1971-10-07,17900000.0
The Biscuit Eater (1972 film),01:32,1972-03-22,1935761693.0
"Now You See Him, Now You Dont",01:28,1972-07-12,4610000.0
Napoleon and Samantha,01:32,1972-07-05,1935761693.0
"Run, Cougar, Run",01:27,1972-10-18,1935761693.0
Snowball Express,01:33,1972-12-22,6100000.0
Charley and the Angel,01:33,1973-03-23,1935761693.0
One Little Indian (film),01:30,1973-06-20,2000000.0
Robin Hood (1973 film),01:23,1973-11-08,33000000.0
Superdad,01:36,1973-12-14,7000000.0
Herbie Rides Again,01:28,1974-06-06,38200000.0
The Bears and I,01:29,1974-07-31,4000000.0
The Castaway Cowboy,01:31,1974-08-01,1935761693.0
The Strongest Man in the World,01:32,1975-02-06,6600000.0
Escape to Witch Mountain (1975 film),01:37,1975-03-21,20000000.0
The Apple Dumpling Gang (film),01:40,1975-07-01,36853000.0
One of Our Dinosaurs Is Missing,01:40,1975-07-09,5500000.0
The Best of Walt Disneys True-Life Adventures,01:29,1975-10-08,1935761693.0
"No Deposit, No Return",01:52,1976-02-11,1935761693.0
Treasure of Matecumbe,01:55,1976-07-01,1935761693.0
Gus (1976 film),01:35,1976-07-07,21873000.0
The Shaggy D.A.,01:31,1976-12-16,10500000.0
Freaky Friday (1976 film),01:37,1976-12-17,36000000.0
The Many Adventures of Winnie the Pooh,01:14,1977-03-11,1935761693.0
The Rescuers,01:17,1977-06-22,169000000.0
Herbie Goes to Monte Carlo,01:44,1977-06-24,28000000.0
Petes Dragon (1977 film),02:08,1977-11-03,36000000.0
Candleshoe,01:41,1977-12-16,1935761693.0
Return from Witch Mountain,01:34,1978-03-10,16300000.0
The Cat from Outer Space,01:44,1978-06-30,1935761693.0
Hot Lead and Cold Feet,01:30,1978-07-05,1935761693.0
The North Avenue Irregulars,01:40,1979-02-09,1935761693.0
The Apple Dumpling Gang Rides Again,01:28,1979-06-27,20931111.0
The Black Hole,01:38,1979-12-18,35800000.0
Midnight Madness (1980 film),01:52,1980-02-08,2900000.0
The Watcher in the Woods (1980 film),01:24,1980-04-17,5000000.0
