id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
426,Cinderella (2015 American film),Kenneth Branagh,"Simon Kinberg, Allison Shearmur, David Barron","Cate Blanchett, Lily James, Richard Madden, Stellan Skarsgård, Holliday Grainger, Derek Jacobi, Helena Bonham Carter",Patrick Doyle,Walt Disney StudiosMotion Pictures,00:01:46,"United StatesUnited Kingdom, United StatesUnited Kingdom",English,Martin Walsh
210,James and the Giant Peach (film),Henry Selick,"Denise Di Novi, Tim Burton","Paul Terry, Simon Callow, Richard Dreyfuss, Jane Leeves, Joanna Lumley, Miriam Margolyes, Susan Sarandon, Pete Postlethwaite, David Thewlis",Randy Newman,"Buena Vista Pictures Distribution, Guild Film Distribution, Buena Vista Pictures Distribution (Worldwide)Guild Film Distribution (United Kingdom)",00:01:19,United KingdomUnited States,English,Stan Webb
435,Tini: The Movie,Juan Pablo Buscarini,Pablo Bossi,"Martina Stoessel, Jorge Blanco, Mercedes Lambre, Clara Alonso, Diego Ramos, Sofia Carson, Ángela Molina",Federico Jusid,Walt Disney Studios Motion Pictures,00:01:39,ArgentinaSpainItaly,Spanish,Pablo Mari
479,Godmothered,Sharon Maguire,Ivan Reitman,"Isla Fisher, Jillian Bell, Jane Curtin",Rachel Portman,"Disney+, Walt Disney Studios Motion Pictures",00:01:50,United States,English,Gary Dollner
440,Queen of Katwe,Mira Nair,Lydia Dean Pilcher,"David Oyelowo, Lupita Nyongo",Alex Heffes,Walt Disney StudiosMotion Pictures,00:02:04,United States,English,Barry Alexander Brown
196,Gargoyles the Movie: The Heroes Awaken,Saburo HashimotoTakamitsu KawamuraKazuo Terada,Frank PaurGreg WeismanLisa A. Salamone,"Thom Adcox-Hernandez, Edward Asner, Jeff Bennett, Clancy Brown, Keith David, Bill Fagerbakke, Jonathan Frakes, Patrick Fraley, Ed Gilbert, Peter Renaday, Salli Richardson, Marina Sirtis, Kath Soucie, Frank Welker",Carl Johnson,"Buena Vista Home Video, Buena Vista Home Video",00:01:32,"United StatesJapan, United StatesJapan",English,Susan Edmunson
168,DuckTales the Movie: Treasure of the Lost Lamp,Bob Hathcock,Bob Hathcock,"Alan Young, Terrence McGovern, Russi Taylor, Richard Libertini, Christopher Lloyd, June Foray, Chuck McCann, Joan Gerber, Rip Taylor",David Newman,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:09,"United States, United States",English,Charles King
438,The BFG (2016 film),Steven Spielberg,"Frank Marshall, Sam Mercer","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader",John Williams,"Walt Disney StudiosMotion Pictures, Walt Disney StudiosMotion Pictures (Worldwide)Mister Smith Entertainment (EMEA)Reliance Entertainment (India), Mister Smith Entertainment, Walt Disney StudiosMotion Pictures (Worldwide)Mister Smith Entertainment (EMEA)Reliance Entertainment (India), EMEA, India, Walt Disney StudiosMotion Pictures (Worldwide)Mister Smith Entertainment (EMEA)Reliance Entertainment (India)",00:01:58,United States,English,Michael Kahn
200,A Goofy Movie,Kevin Lima,Dan Rounds,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin, Rob Paulsen, Wallace Shawn, Jenna von Oÿ",Carter Burwell,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:18,United States,English,Gregory Perler
241,Inspector Gadget (film),David Kellogg,"Roger Birnbaum, Jordan Kerner","Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg, Mike Hagerty, Andy Dick, Cheri Oteri, Dabney Coleman",John Debney,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:18,United States,English,Thom Noble
