source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'wired', 'name': 'Wired'}",Jessica Klein,Bitcoin Bros Go Wild for Donald Trump,"At Bitcoin 2024 conference in Nashville, Trump is finally telling crypto enthusiasts what they want to hear.",https://www.wired.com/story/bitcoin-bros-go-wild-for-donald-trump/,"https://media.wired.com/photos/66a56f21bf2909f08a634953/191:100/w_1280,c_limit/Crypto-Bros-Business-2162975355.jpg",2024-07-28T12:43:07Z,"Trumps speech is an hour behind. A half hour into the wait, restless attendees start chanting Trump. The woman sitting in front of me murmurs her own chant:
Bitcoin, bitcointhats what they should be… [+3147 chars]"
"{'id': 'wired', 'name': 'Wired'}",Joel Khalili,Craig Wright Faces Perjury Investigation Over Claims He Created Bitcoin,"By order of a UK judge, Craig Wright can no longer claim he is the creator of bitcoin and now faces the prospect of criminal charges.",https://www.wired.com/story/craig-wright-perjury-bitcoin-trial/,"https://media.wired.com/photos/6696630a5d2d61e4805c3175/191:100/w_1280,c_limit/GettyImages-1979197796.jpg",2024-07-16T12:58:12Z,"A judge in the UK High Court has directed prosecutors to consider bringing criminal charges against computer scientist Craig Wright, after ruling that he lied extensively and repeatedly and committed… [+2851 chars]"
"{'id': 'wired', 'name': 'Wired'}",Steven Levy,Trump's Crypto Embrace Could Be a Disaster for Bitcoin,"At the Bitcoin 2024 conference in Nashville, Donald Trump promised the crypto community the moon. They'd better hope they don't get it.",https://www.wired.com/story/donald-trump-bitcoin-reserve-promises/,"https://media.wired.com/photos/66ab594d0c0cc4819f595db4/191:100/w_1280,c_limit/073024_Crypto%20get%20rich%20quick.jpg",2024-08-02T13:00:00Z,"Donald Trump is an unlikely crypto ally. The power of bitcoin, embodied in Satoshi Nakamotos founding document, is that it frees participants from murky assessments of trust, instead relying on the b… [+4248 chars]"
"{'id': 'wired', 'name': 'Wired'}",Joel Khalili,A Tiny Texas Village Is About To Annex a Gigantic Bitcoin Mine,"In a roundabout bid to win public opinion (and a juicy tax abatement,) Riot Platforms is preparing for its prized bitcoin mine to be annexed by a miniscule village in rural Texas.",https://www.wired.com/story/a-tiny-texas-hamlet-is-about-to-annex-an-industrial-scale-bitcoin-mine/,"https://media.wired.com/photos/66958525a54303f24cdd6052/191:100/w_1280,c_limit/Texas-Annex-Bitcoin-Business-1288216977.jpg",2024-07-16T11:30:00Z,"In Oak Valley, a sleepy village in rural Navarro County, Texas, there is very little of anything. A potholed track runs through its two square miles of sun-beaten grassland, past a modest prefab comm… [+3234 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Harri Weber,Trump Promises to Make U.S. the ‘Crypto Capital of the Planet and the Bitcoin Superpower’,"The former president drew cheers at the 2024 Bitcoin Conference after saying he'll ""fire"" Biden-nominated SEC Chair Gary Gensler.",https://gizmodo.com/trump-promises-to-make-u-s-the-crypto-capital-of-the-planet-and-the-bitcoin-superpower-2000480037,https://gizmodo.com/app/uploads/2024/07/Screenshot-2024-07-27-at-1.02.37 PM.jpg,2024-07-27T20:59:48Z,"Speaking to a crowd of supporters at the Bitcoin 2024 Conference in Nashville, Tennessee, former president and Republican nominee Donald Trump said he would make the U.S. the “crypto capital of the p… [+2326 chars]"
"{'id': 'wired', 'name': 'Wired'}",Makena Kelly,Silicon Valley Hasn’t Embraced Trump. But It’s Wavering on Biden,Venture capitalists on both sides of the aisle suggest Silicon Valley is more anti-Biden than it is pro-Trump.,https://www.wired.com/story/silicon-valley-crypto-trump-biden-debate/,"https://media.wired.com/photos/668d715c9004df7e67a59acd/191:100/w_1280,c_limit/Silicon-Valley-Trump-Biden-Politics.jpg",2024-07-11T09:30:00Z,"The June fundraiser set off alarm bells suggesting that a new political movement needed to be accounted for, but little in the records of its organizers suggests deep fealty to MAGA doctrine. Palihap… [+3700 chars]"
"{'id': None, 'name': 'Slashdot.org'}",Slashdot Staff,RFK Jr. Says He'd Direct the Government to Buy $615 Billion in Bitcoin or 4 Million Bitcoins,"US presidential candidate, Robert F. Kennedy Jr., announced during his keynote Friday at the Bitcoin Conference that he would direct the US government to buy Bitcoin until the size of its Bitcoin reserves matched its gold reserves. At current prices, that equ…",https://news.slashdot.org/story/24/07/26/239214/rfk-jr-says-hed-direct-the-government-to-buy-615-billion-in-bitcoin-or-4-million-bitcoins,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-07-26T23:03:00Z,"... a position of dominance that no other country will be able to usurp.
Why and who cares? Trading money for a different kind of money give us ""dominance""? What part of your brain did that worm eat… [+237 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,Mt. Gox to repay investors in Bitcoin,"Mt. Gox, once the world’s leading Bitcoin (BTC) exchange, is set to begin repaying investors using Bitcoin and Bitcoin Cash (BCH).… Continue reading Mt. Gox to repay investors in Bitcoin
The post Mt. Gox to repay investors in Bitcoin appeared first on ReadWri…",https://readwrite.com/mt-gox-to-repay-investors-in-bitcoin/,https://readwrite.com/wp-content/uploads/2024/07/97b8c89d-4828-4803-b037-04d74e631a19.webp,2024-07-08T16:29:11Z,"Mt. Gox, once the world’s leading Bitcoin (BTC) exchange, is set to begin repaying investors using Bitcoin and Bitcoin Cash (BCH).
The repayment was announced on July 5 over a decade after Mt. Gox’s… [+2101 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,"Mt. Gox moves nearly $2.7 billion in bitcoin, signaling anticipated payouts","On Tuesday, a significant Bitcoin (BTC) movement occurred from addresses associated with Mt. Gox, the defunct cryptocurrency exchange. At 8:12… Continue reading Mt. Gox moves nearly $2.7 billion in bitcoin, signaling anticipated payouts
The post Mt. Gox moves…",https://readwrite.com/mt-gox-bitcoin-payments-address-kraken-distributions/,https://readwrite.com/wp-content/uploads/2024/07/20b483a8-0d32-421a-93f8-3d2ce080557d.webp,2024-07-16T21:12:27Z,"On Tuesday, a significant Bitcoin (BTC) movement occurred from addresses associated with Mt. Gox, the defunct cryptocurrency exchange.
At 8:12 a.m. UTC, over 48,641 BTC (valued at $3.1 billion) was … [+2028 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,Bitcoin 2024 announces Donald Trump as speaker,"The upcoming Bitcoin 2024 conference in Nashville, Tennessee, has added former U.S. President Donald Trump to its roster of speakers.… Continue reading Bitcoin 2024 announces Donald Trump as speaker
The post Bitcoin 2024 announces Donald Trump as speaker appe…",https://readwrite.com/bitcoin-2024-announces-donald-trump-as-speaker/,https://readwrite.com/wp-content/uploads/2024/07/b5c05c2f-24d0-46fb-bbc1-9f7f96fe7e38.webp,2024-07-11T16:19:23Z,"The upcoming Bitcoin 2024 conference in Nashville, Tennessee, has added former U.S. President Donald Trump to its roster of speakers.
Scheduled for July 25-27, this event is among the largest global… [+1535 chars]"
